Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Position
NOR,McLaren,2.0,87.344,31.074,18.116,38.154,MEDIUM,2.0,6.0
NOR,McLaren,3.0,86.863,30.541,18.252,38.07,MEDIUM,3.0,7.0
NOR,McLaren,4.0,85.857,30.19,18.193,37.474,MEDIUM,4.0,7.0
NOR,McLaren,5.0,85.573,29.93,17.868,37.775,MEDIUM,5.0,7.0
NOR,McLaren,6.0,85.036,30.025,17.829,37.182,MEDIUM,6.0,7.0
NOR,McLaren,7.0,84.978,30.067,17.764,37.147,MEDIUM,7.0,7.0
NOR,McLaren,8.0,85.299,30.191,17.97,37.138,MEDIUM,8.0,7.0
NOR,McLaren,9.0,85.639,30.135,17.77,37.734,MEDIUM,9.0,7.0
NOR,McLaren,10.0,85.295,30.117,17.924,37.254,MEDIUM,10.0,7.0
NOR,McLaren,11.0,103.391,30.117,17.987,55.287,MEDIUM,11.0,9.0
NOR,McLaren,12.0,118.075,44.892,27.737,45.446,HARD,1.0,9.0
NOR,McLaren,13.0,111.932,41.529,27.589,42.814,HARD,2.0,9.0
NOR,McLaren,14.0,84.233,29.882,17.87,36.481,HARD,3.0,9.0
NOR,McLaren,15.0,83.784,29.402,17.899,36.483,HARD,4.0,9.0
NOR,McLaren,16.0,83.912,29.524,17.919,36.469,HARD,5.0,9.0
NOR,McLaren,17.0,84.053,29.442,18.015,36.596,HARD,6.0,9.0
NOR,McLaren,18.0,95.404,29.758,17.788,47.858,HARD,7.0,5.0
NOR,McLaren,19.0,116.07,42.456,22.738,50.876,HARD,8.0,5.0
NOR,McLaren,20.0,85.774,30.612,18.63,36.532,HARD,9.0,5.0
NOR,McLaren,21.0,83.972,29.499,18.129,36.344,HARD,10.0,5.0
NOR,McLaren,22.0,83.687,29.317,17.999,36.371,HARD,11.0,5.0
NOR,McLaren,23.0,83.534,29.254,17.992,36.288,HARD,12.0,5.0
NOR,McLaren,24.0,83.394,29.302,17.929,36.163,HARD,13.0,5.0
NOR,McLaren,25.0,83.5,29.373,17.925,36.202,HARD,14.0,5.0
NOR,McLaren,26.0,83.403,29.35,17.894,36.159,HARD,15.0,5.0
NOR,McLaren,27.0,83.896,29.426,18.011,36.459,HARD,16.0,5.0
NOR,McLaren,28.0,84.04,29.538,17.988,36.514,HARD,17.0,5.0
NOR,McLaren,29.0,84.08,29.692,17.992,36.396,HARD,18.0,5.0
NOR,McLaren,30.0,83.961,29.515,17.966,36.48,HARD,19.0,5.0
NOR,McLaren,31.0,84.094,29.604,17.958,36.532,HARD,20.0,5.0
NOR,McLaren,32.0,84.075,29.481,17.98,36.614,HARD,21.0,5.0
NOR,McLaren,33.0,84.79,30.039,18.027,36.724,HARD,22.0,5.0
NOR,McLaren,34.0,112.732,39.736,22.345,50.651,HARD,23.0,6.0
NOR,McLaren,35.0,89.434,34.977,17.783,36.674,MEDIUM,1.0,8.0
NOR,McLaren,36.0,83.324,29.282,17.819,36.223,MEDIUM,2.0,8.0
NOR,McLaren,37.0,83.448,29.399,17.652,36.397,MEDIUM,3.0,8.0
NOR,McLaren,38.0,83.423,29.202,17.867,36.354,MEDIUM,4.0,7.0
NOR,McLaren,39.0,84.001,29.482,18.144,36.375,MEDIUM,5.0,6.0
NOR,McLaren,40.0,83.397,29.188,17.861,36.348,MEDIUM,6.0,6.0
